MFCCs,Mean_Accuracy,STD_Accuracy
[0 1 2],0.6911290322580644,0.0417567531161278
[0 1 3],0.6943548387096774,0.04596774193548388
[0 1 4],0.7016129032258064,0.04431816665817448
[0 1 5],0.682258064516129,0.03768813369531589
[0 2 3],0.6443548387096774,0.035419663316125394
[0 2 4],0.6556451612903225,0.025514987128316728
[0 2 5],0.639516129032258,0.0380060376385425
[0 3 4],0.664516129032258,0.03328994748475855
[0 3 5],0.6419354838709678,0.03425283964773435
[0 4 5],0.607258064516129,0.04839381673766935
[1 2 3],0.65,0.03837218468829134
[1 2 4],0.6604838709677419,0.04844754288992126
[1 2 5],0.6959677419354838,0.020417724034148675
[1 3 4],0.6548387096774193,0.03692104239438579
[1 3 5],0.6685483870967742,0.03807442462617057
[1 4 5],0.6596774193548387,0.034742998755706474
[2 3 4],0.635483870967742,0.03656704531856331
[2 3 5],0.6250000000000001,0.029355281811614967
[2 4 5],0.6120967741935484,0.029399558279932528
[3 4 5],0.5951612903225807,0.043697474787561495
