,sfs__estimator__n_neighbors,sfs__k_features,Test Accuracy
0,1,2,0.6301229508196722
1,1,4,0.6495901639344263
2,1,6,0.6762295081967213
3,1,8,0.6977459016393442
4,1,10,0.6967213114754098
5,1,12,0.7038934426229508
6,1,14,0.6782786885245902
7,1,16,0.6629098360655737
8,3,2,0.6301229508196722
9,3,4,0.6495901639344263
10,3,6,0.6762295081967213
11,3,8,0.6977459016393442
12,3,10,0.6967213114754098
13,3,12,0.7038934426229508
14,3,14,0.6782786885245902
15,3,16,0.6629098360655737
16,5,2,0.6301229508196722
17,5,4,0.6495901639344263
18,5,6,0.6762295081967213
19,5,8,0.6977459016393442
20,5,10,0.6967213114754098
21,5,12,0.7038934426229508
22,5,14,0.6782786885245902
23,5,16,0.6629098360655737
24,10,2,0.6301229508196722
25,10,4,0.6495901639344263
26,10,6,0.6762295081967213
27,10,8,0.6977459016393442
28,10,10,0.6967213114754098
29,10,12,0.7038934426229508
30,10,14,0.6782786885245902
31,10,16,0.6629098360655737
32,15,2,0.6301229508196722
33,15,4,0.6495901639344263
34,15,6,0.6762295081967213
35,15,8,0.6977459016393442
36,15,10,0.6967213114754098
37,15,12,0.7038934426229508
38,15,14,0.6782786885245902
39,15,16,0.6629098360655737
40,17,2,0.6301229508196722
41,17,4,0.6495901639344263
42,17,6,0.6762295081967213
43,17,8,0.6977459016393442
44,17,10,0.6967213114754098
45,17,12,0.7038934426229508
46,17,14,0.6782786885245902
47,17,16,0.6629098360655737
48,19,2,0.6301229508196722
49,19,4,0.6495901639344263
50,19,6,0.6762295081967213
51,19,8,0.6977459016393442
52,19,10,0.6967213114754098
53,19,12,0.7038934426229508
54,19,14,0.6782786885245902
55,19,16,0.6629098360655737
